ID,EPG_Before,EggCountBefore,EPG_After,EggCountAfter,PreIgA,PostIgA,Location,Breed,Sex,Age,Farm_type,Mgt_system
DF,0,0,0,0,30.13716814,36.15486726,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
EF,60,3,0,0,35.97787611,20.31415929,Katsina,Yankasa,Male,Young,Smallholder,Semi-intensive
FF,320,16,160,8,45.57964602,20.31415929,Katsina,Balami,Male,Young,Smallholder,Semi-intensive
GF,220,11,80,4,34.25221239,29.78318584,Katsina,Balami,FeMale,Young,Smallholder,Semi-intensive
HF,0,0,0,0,34.25221239,28.10176991,Katsina,Sudanese,FeMale,Adult,Smallholder,Semi-intensive
IF,400,20,300,15,34.25221239,29.78318584,Katsina,Yankasa,FeMale,Adult,Smallholder,Semi-intensive
JF,240,12,160,8,34.25221239,6.376106195,Katsina,Balami,Male,Young,Smallholder,Semi-intensive
KF,220,11,20,1,36.11061947,7.039823009,Katsina,Balami,FeMale,Adult,Smallholder,Semi-intensive
LF,320,16,20,1,36.11061947,9.296460177,Katsina,Uda,Male,Adult,Smallholder,Semi-intensive
MF,140,7,80,4,36.11061947,29.78318584,Katsina,Yankasa,FeMale,Young,Smallholder,Semi-intensive
NF,0,0,0,0,36.11061947,21.41150443,Katsina,Balami,Male,Adult,Smallholder,Semi-intensive
OF,0,0,0,0,41.55309735,27.88053097,Kaduna,Yankasa,FeMale,Adult,Smallholder,Intensive
PF,0,0,0,0,28.23451327,27.88053097,Kaduna,Balami,Male,Adult,Smallholder,Intensive
QF,0,0,0,0,30.53539823,20.09292035,Kaduna,Balami,FeMale,Adult,Smallholder,Intensive
RF,0,0,0,0,30.53539823,20.09292035,Kaduna,Yankasa,FeMale,Adult,Smallholder,Intensive
SF,0,0,0,0,30.53539823,20.09292035,Kaduna,Yankasa,FeMale,Adult,Smallholder,Intensive
TF,0,0,0,0,43.8539823,30.04867257,Kaduna,Balami,Male,Adult,Smallholder,Intensive
UF,0,0,0,0,43.8539823,22.26106195,Kaduna,Yankasa,Male,Young,Smallholder,Intensive
VF,0,0,0,0,43.8539823,30.04867257,Kaduna,Yankasa,FeMale,Adult,Smallholder,Intensive
WF,120,6,0,0,43.8539823,30.04867257,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
XF,240,12,40,2,43.8539823,30.04867257,Kaduna,Yankasa,Male,Young,Smallholder,Extensive
YF,420,21,0,0,43.8539823,33.23451327,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
ZF,60,3,0,0,43.8539823,33.23451327,Kaduna,Uda,Male,Adult,Smallholder,Semi-intensive
AG,0,0,0,0,43.8539823,28.36725664,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
BG,80,4,0,0,30.53539823,28.36725664,Kaduna,Uda,FeMale,Adult,Smallholder,Semi-intensive
CG,40,2,0,0,33.05752212,36.15486726,Kaduna,Sudanese,FeMale,Adult,Smallholder,Semi-intensive
DG,0,0,0,0,33.05752212,36.15486726,Kaduna,Yankasa,FeMale,Adult,Smallholder,Semi-intensive
EG,0,0,0,0,33.05752212,28.36725664,Kaduna,Yankasa,FeMale,Adult,Smallholder,Semi-intensive
FG,0,0,20,1,45.57964602,36.15486726,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
GG,380,19,40,2,33.05752212,28.36725664,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
HG,520,26,100,5,45.57964602,36.15486726,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
IG,0,0,40,2,45.57964602,28.36725664,Kaduna,Yankasa,Male,Adult,Smallholder,Semi-intensive
JG,20,1,0,0,33.05752212,28.36725664,Kaduna,Uda,FeMale,Young,Smallholder,Semi-intensive
KG,0,0,0,0,41.28761062,45.57964602,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
LG,40,2,40,2,34.29646018,45.57964602,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
MG,0,0,0,0,26.50884956,28.36725664,Kaduna,Balami,Male,Adult,Institutional,Semi-intensive
NG,0,0,0,0,26.50884956,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
OG,240,12,0,0,45.57964602,45.57964602,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
PG,20,1,0,0,35.97787611,34.42920354,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
QG,40,2,0,0,35.97787611,45.57964602,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
RG,0,0,20,1,45.57964602,28.36725664,Kaduna,Balami,FeMale,Adult,Institutional,Semi-intensive
SG,0,0,0,0,35.97787611,34.42920354,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
TG,0,0,0,0,35.97787611,45.57964602,Kaduna,Balami,FeMale,Adult,Institutional,Semi-intensive
UG,0,0,0,0,45.57964602,45.57964602,Kaduna,Yankasa,FeMale,Young,Institutional,Semi-intensive
VG,0,0,0,0,34.29646018,34.42920354,Kaduna,Balami,FeMale,Adult,Institutional,Semi-intensive
WG,60,3,0,0,26.50884956,45.57964602,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
XG,420,21,0,0,34.29646018,34.42920354,Kaduna,Balami,Male,Adult,Institutional,Semi-intensive
YG,0,0,0,0,26.50884956,45.57964602,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
ZG,20,1,0,0,45.57964602,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
AH,0,0,0,0,35.88938053,28.45575221,Kaduna,Yankasa,FeMale,Young,Smallholder,Extensive
BH,0,0,40,2,45.57964602,28.45575221,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
CH,500,25,80,4,26.37610619,28.45575221,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
DH,120,6,20,1,26.37610619,28.45575221,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
EH,60,3,40,2,35.97787611,28.45575221,Kaduna,Yankasa,FeMale,Young,Smallholder,Extensive
FH,20,1,0,0,26.37610619,34.5619469,Kaduna,Yankasa,FeMale,Adult,Smallholder,Extensive
GH,80,4,0,0,26.37610619,28.45575221,Kaduna,Yankasa,FeMale,Young,Smallholder,Extensive
HH,0,0,0,0,35.97787611,34.5619469,Kaduna,Yankasa,Male,Adult,Smallholder,Extensive
IH,0,0,0,0,35.97787611,34.5619469,Kaduna,Yankasa,Male,Young,Smallholder,Extensive
JH,420,21,0,0,35.97787611,34.5619469,Kaduna,Uda,Male,Adult,Smallholder,Extensive
KH,0,0,0,0,33.05752212,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
LH,40,2,0,0,33.05752212,28.45575221,Kaduna,Uda,Male,Young,Institutional,Semi-intensive
MH,100,5,0,0,33.05752212,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
NH,40,2,0,0,33.05752212,28.45575221,Kaduna,Yankasa,FeMale,Young,Institutional,Semi-intensive
OH,0,0,0,0,35.97787611,28.45575221,Kaduna,Yankasa,FeMale,Adult,Institutional,Semi-intensive
PH,0,0,0,0,45.57964602,34.5619469,Kaduna,Balami,Male,Adult,Institutional,Semi-intensive
QH,140,7,0,0,26.50884956,34.5619469,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
RH,0,0,0,0,45.57964602,34.5619469,Kaduna,Yankasa,Male,Adult,Institutional,Semi-intensive
SH,0,0,0,0,34.29646018,26.77433628,Kaduna,Yankasa,Male,Adult,Institutional,Semi-intensive
TH,0,0,0,0,35.97787611,26.77433628,Kaduna,Yankasa,Male,Adult,Institutional,Semi-intensive
UH,0,0,0,0,35.97787611,20.31415929,Kaduna,Balami,Male,Young,Institutional,Semi-intensive
VH,0,0,0,0,45.57964602,26.77433628,Kaduna,Yankasa,Male,Young,Institutional,Semi-intensive
